"","date","ID","mood","arousal","valence","activity","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather"
"92",2014-03-24,"31",NA,NA,NA,NA,3,1,0,0,0,0,0,0,0,0,0,0,0,0
"93",2014-03-24,"32",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"94",2014-03-24,"33",NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"95",2014-03-25,"1",6.75,0.5,0.5,0.0994157790571734,0,1,1123.412,11999.084,188.579,43.054,0,0,178.819,2209.7,0,235.223,222.893,0
"96",2014-03-25,"2",7.75,-1.25,0.75,0.232596988189787,7,0,2806.931,2788.751,459.589,0,0,0,50.375,148.447,0,0,0,0
"97",2014-03-25,"3",7.8,-0.4,1.2,0.132768285523492,6,1,1044.495,1305.098,1351.416,447.543,0,141.076,133.63,0,0,47.324,28.843,0
"98",2014-03-25,"5",5.33333333333333,-1,0.333333333333333,0.0469192689566096,0,1,115.586,5980.514,2903.176,0,0,0,253.707,0,0,157.198,495.038,0
"99",2014-03-25,"6",7,-0.2,0.6,0.12977207977208,0,0,111.86,3748.425,2849.904,0,0,276.938,112.22,826.533,0,0,0,0
"100",2014-03-25,"7",7.66666666666667,-0.5,1.33333333333333,0.12213172891139,4,0,1170.303,7485.306,1492.521,0,0,0,643.485,1495.451,130.934,0,0,0
"101",2014-03-25,"8",7.2,-0.6,1,0.0168976618425148,0,1,73.604,1469.956,89.12,0,0,0,46.936,441.331,0,0,0,0
"102",2014-03-25,"9",6.2,0.4,-0.2,0.0263888888888889,1,0,329.63,2488.235,3996.514,106.12,0,10.256,72.38,153.491,32.474,0,3.016,17.433
"103",2014-03-25,"12",NA,NA,NA,NA,2,1,0,0,0,0,0,0,0,0,0,0,0,0
"104",2014-03-25,"13",7.6,1.2,1.8,0.0985684853651605,0,0,33.405,4848.091,538.18,0,0,0,1139.661,381.363,122.792,0,0,0
"105",2014-03-25,"14",5.75,-0.25,0,0.0861865200810088,1,1,5014.601,5569.083,0,377.516,0,0,1517.705,1172.694,1469.523,0,0,0
"106",2014-03-25,"15",7,0.8,1,0.0043103448275862,1,0,554.523,890.138,0,0,0,0,0,0,0,0,0,0
"107",2014-03-25,"16",6,0.6,0.6,0.087166231243908,0,1,260.708,365.541,50.631,0,0,0,21.061,161.01,0,0,0,0
"108",2014-03-25,"17",7.5,0.5,1,0.0620226686501575,0,0,175.062,1289.057,1791.651,0,0,269.322,27.1,1380.127,0,0,9.866,0
"109",2014-03-25,"19",5.5,-1.25,0.25,0.11325160672352,12,0,1043.635,3966.545,0,0,0,0,54.303,0,0,0,0,0
"110",2014-03-25,"20",6,-0.75,-0.5,0.0728632478632479,0,0,872.518,242.466,261.954,0,347.386,0,130.525,523.087,0,222.015,88.629,0
"111",2014-03-25,"23",6.2,-0.4,0.6,0.259830703731211,0,0,2190.989,7174.385,13492.83,0,0,0,306.618,0,180.392,256.963,0,0
"112",2014-03-25,"26",6.6,-0.2,0.2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"113",2014-03-25,"27",NA,NA,NA,NA,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"114",2014-03-25,"29",NA,NA,NA,NA,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"115",2014-03-25,"30",8,-0.2,1,0.134146783713485,2,0,1776.05,9165.199,3057.944,25.429,0,0,544.635,2113.006,0,29.197,58.283,0
"116",2014-03-25,"31",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"117",2014-03-25,"32",NA,NA,NA,NA,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"118",2014-03-25,"33",NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"119",2014-03-26,"1",6.6,-0.2,0.6,0.100619762348042,0,0,1089.816,7266.42,790.106,52.331,0,0,97.498,4301.83,0,0,33.365,0
"120",2014-03-26,"2",7.2,-1.2,0.4,0.308874799672312,5,0,1791.46,2583.74,767.145,0,0,0,41.95,1562.023,0,0,0,0
"121",2014-03-26,"3",8.25,0.5,1,0.0911532011403041,1,0,118.639,1294.789,2355.873,87.141,0,20.684,72.68,0,12.84,7.649,0,0
"122",2014-03-26,"5",5.5,-0.5,0.25,0.0332841282413447,0,1,176.916,7501.895,500.309,0,0,0,93.703,0,0,124.287,0,0
"123",2014-03-26,"6",8,0.5,1.5,0.135562652965878,2,0,212.512,3237.509,1954.262,0,0,35.692,60.047,3143.653,564.176,0,0,0
"124",2014-03-26,"7",6.6,0.2,0.6,0.105377064618951,8,4,2495.476,4566.591,1536.184,0,0,0,103.919,2210.647,203.741,0,0,0
"125",2014-03-26,"8",6.5,-0.25,0.5,0.0895013931186419,0,5,330.846,895.011,112.399,0,0,161.499,45.978,413.674,0,0,11.029,0
"126",2014-03-26,"9",7.75,0.5,0.75,0.0866627984084881,3,2,632.564,1452.431,2761.564,61.349,0,1.004,46.913,288.355,0,0,75.999,0
"127",2014-03-26,"13",8.4,-1,1,0.303655124259914,1,1,430.692,6939.567,493.32,0,0,0,265.619,287.699,0,0,0,0
"128",2014-03-26,"14",7,-0.2,1,0.137225028439336,1,1,3047.14,4656.146,517.605,6.048,0,0,1899.149,1084.756,104.189,0,0,0
"129",2014-03-26,"15",7.2,1.4,0.8,0.226851851851852,7,3,838.873,3850.691,0,0,0,0,396.176,0,62.299,0,0,0
"130",2014-03-26,"16",5.6,0.2,0.25,0.0879629629629629,0,1,125.326,284.599,3402.831,64.797,0,0,0,221.426,0,0,0,0
"131",2014-03-26,"17",7.2,0.2,0.8,0.0685370970422067,2,0,558.837,1706.992,3070.042,0,0,0,112.919,1463.001,0,0,85.451,0
"132",2014-03-26,"19",6,-0.6,0.4,0.108914826126965,6,0,899.973,3292.687,0,0,0,0,49.532,139.746,0,2.006,0,0
"133",2014-03-26,"20",6.8,0.4,0.4,0.0257621567145376,0,0,256.878,80.782,370.681,0,0,0,72.931,347.365,0,0,0,0
"134",2014-03-26,"23",7,-0.25,1.25,0.432705405790156,1,1,692.655,5553.14,2238.019,0,179.902,0,841.12,145.669,22.086,85.333,0,0
"135",2014-03-26,"25",NA,NA,NA,NA,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"136",2014-03-26,"26",6.4,0.6,0,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"137",2014-03-26,"27",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"138",2014-03-26,"28",NA,NA,NA,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"139",2014-03-26,"30",6.8,0.2,0.6,0.200921262512715,15,0,1436.006,7735.433,2769.173,0,0,259.402,1142.667,3180.192,0,135.757,58.241,6.087
"140",2014-03-26,"32",NA,NA,NA,NA,9,0,0,0,0,0,0,0,0,0,0,0,0,0
"141",2014-03-26,"33",NA,NA,NA,NA,16,1,0,0,0,0,0,0,0,0,0,0,0,0
"142",2014-03-27,"1",7,0.2,0.8,0.159125432956771,2,1,10467.596,7098.858,769.894,78.041,0,182.451,58.532,935.381,47.314,0,179.029,0
"143",2014-03-27,"2",7.25,0,0.5,0.228750468590547,4,0,2485.732,3048.154,490.781,0,0,0,731.853,293.471,0,0,67.163,0
"144",2014-03-27,"3",7.75,0.25,0.5,0.103890198143175,3,1,588.336,936.16,1656.928,0,0,13.437,60.032,0,0,27.282,17.49,0
"145",2014-03-27,"5",5.8,-0.6,0.2,0.0776054135182141,1,1,620.858,8829.383,1137.204,0,0,0,107.356,0,0,137.643,26.285,0
"146",2014-03-27,"6",7,0.25,0.25,0.134064716312057,1,0,523.696,4084.793,2466.455,0,0,0,55.648,2305.366,0,0,0,0
"147",2014-03-27,"7",6.8,0.2,0.4,0.0876169145819247,2,8,1775.531,4762.133,0,0,0,0,60.278,711.941,51.768,0,0,0
"148",2014-03-27,"8",6.33333333333333,0,0.5,0.0870115013606353,0,6,128.185,1976.788,0,0,0,0,56.987,2145.012,0,358.674,24.05,0
"149",2014-03-27,"9",7.8,-0.4,0.8,0.0276951058201058,1,0,406.619,864.965,2947.854,0,0,3.023,296.718,501.617,1.01,112.478,0,14.396
"150",2014-03-27,"12",7,-0.5,1,0.140674545853933,2,0,779.818,930.649,277.843,0,0,0,71.905,4739.888,0,0,5.052,0
"151",2014-03-27,"13",7.4,-1.2,1,0.108094129572087,0,1,200.079,7555.642,713.967,0,0,0,535.151,337.868,289.617,0,0,0
"152",2014-03-27,"14",6.6,-1,0.8,0.0792051991145358,1,0,1903.323,9560.303,245.311,155.584,0,0,98.693,1594.741,1.008,0,0,0
"153",2014-03-27,"15",7,1,1,0,12,0,49.808,0,0,0,0,0,0,0,0,0,0,0
"154",2014-03-27,"16",6,0,0.25,0.340785907859079,1,15,19.485,0,0,0,0,0,0,0,0,0,0,0
"155",2014-03-27,"17",7.2,0.4,0.6,0.0906331678707439,0,0,663.981,4890.151,2036.394,0,0,0,45.212,1500.51,263.167,0,0,0
"156",2014-03-27,"19",6.6,0,0.6,0.147829608480074,7,1,958.143,2155.805,242.518,0,0,0,47.601,190.399,0,70.904,0,0
"157",2014-03-27,"20",7,0.25,0.75,0.07125,0,0,228.71,115.054,44.372,0,624.721,0,0,250.676,0,0,0,0
"158",2014-03-27,"23",7,0.75,1.25,0.328817016317016,0,0,1005.019,3964.804,4211.714,0,1684.809,0,92.791,15.102,42.16,953.916,0,0
"159",2014-03-27,"25",NA,NA,NA,NA,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"160",2014-03-27,"26",6.2,-0.2,0.2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"161",2014-03-27,"28",NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"162",2014-03-27,"30",7.75,-0.75,1,0.160133293806911,2,0,1377.245,8619.059,3634.555,13.057,0,36.242,256.431,3883.824,0,174.448,180.794,0
"163",2014-03-27,"31",NA,NA,NA,NA,6,3,0,0,0,0,0,0,0,0,0,0,0,0
"164",2014-03-27,"32",NA,NA,NA,NA,4,1,0,0,0,0,0,0,0,0,0,0,0,0
"165",2014-03-27,"33",NA,NA,NA,NA,11,0,0,0,0,0,0,0,0,0,0,0,0,0
"166",2014-03-28,"1",6.4,-0.6,0.6,0.0956980216371201,5,0,811.363,704.487,874.848,53.344,233.036,0,225.951,512.741,1133.009,0,301.717,0
"167",2014-03-28,"2",6.8,-0.6,0.6,0.281034790402533,7,2,786.252,1144.125,707.64,0,0,0,125.669,2505.11,0,0,0,0
"168",2014-03-28,"3",8,-0.5,1.5,0.103984843534622,3,0,277.526,936.381,3348.62,0,0,46.206,246.376,0,0,36.505,7.045,0
"169",2014-03-28,"5",6.2,0,0.6,0.0448950299036848,1,0,321.948,3685.49,4137.894,0,0,0,111.722,345.007,0,0,17.071,0
"170",2014-03-28,"6",7.6,-0.2,0.8,0.169632558905915,0,1,42.311,3588.047,1984.516,0,0,42.263,367.836,2193.275,80.015,0,0,0
"171",2014-03-28,"7",8.25,0.25,1.5,0.0980998424889588,1,0,2651.477,4794.411,2162.614,0,0,0,231.768,1918.225,647.093,305.073,14.226,0
"172",2014-03-28,"8",6.25,-0.25,0.5,0.0165597620461136,1,12,834.408,959.256,0,0,0,0,52.028,706.401,0,167.534,0,0
"173",2014-03-28,"9",8.25,-0.25,1,0.0788194444444444,4,0,304.799,2549.399,5124.957,56.071,0,3.073,45.802,443.345,983.769,17.192,70.972,0
"174",2014-03-28,"12",6.75,0,0.75,0.122952586206897,9,0,4946.47,2540.571,3791.086,0,0,0,77.908,3322.553,0,0,14.169,0
"175",2014-03-28,"13",7.6,-1,1.2,0.35955400684057,0,0,1506.22,4587.273,1870.323,0,0,33.368,170.426,3036.482,263.015,0,0,0
"176",2014-03-28,"14",6.2,-0.4,0.6,0.0696839987353426,1,0,6551.704,7143.947,161.928,223.365,0,0,309.146,1189.358,0,13.838,0,0
"177",2014-03-28,"15",7.2,1.2,1,0.0447751322751322,8,0,596.674,1039.388,0,0,0,0,7.021,0,0,0,48.229,0
"178",2014-03-28,"16",6.5,-0.75,0.75,0.0830412126461478,0,0,119.651,398.041,0,0,0,0,0,0,0,0,0,0
"179",2014-03-28,"17",7.2,0.6,1,0.262495163319565,1,0,387.755,4086.488,791.014,0,0,30.121,204.161,2255.276,329.95,0,0,0
"180",2014-03-28,"19",6.6,-0.6,1.2,0.133247265021468,8,1,773.395,1210.91,562.849,0,0,0,63.667,26.28,0,0,0,0
"181",2014-03-28,"20",6.25,0.5,0,0.0238095238095238,0,0,408.747,133.349,0,0,0,0,8.027,0,0,0,0,0
"182",2014-03-28,"23",7,0.6,1.2,0.430329031433683,0,0,371.775,4141.433,845.157,0,1216.805,0,54.568,0,6.021,26.109,0,0
"183",2014-03-28,"25",NA,NA,NA,NA,18,4,0,0,0,0,0,0,0,0,0,0,0,0
"184",2014-03-28,"26",8,0.2,1,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"185",2014-03-28,"27",NA,NA,NA,NA,4,0,0,0,0,0,0,0,0,0,0,0,0,0
