"","ID","date","observation_day","mood","arousal","valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather","night_physical_activity","night_screen","night_appcat_combined","MAX_inactivity_timediff","SUM_inactivity_timediff","weekday","week_of_year","appCat_total","was_na_mood","was_na_arousal","was_na_valence","was_na_activity","was_na_night_activity","mood_of_next_day","roll_mean_3","roll_mean_7"
"34",1,2014-04-24,34,7.5,-0.2,1,0.0656095349776088,10258.3609998226,1,0,223.852,5814.86,1690.649,209.937,0,0,22.684,595.967,0,0,214.89,0,0.0250645000091801,13387.5780005455,9990.736,2,2,4,17,8772.839,1,1,1,0,0,7.2,7.5,7.34285714285714
"35",1,2014-04-25,35,7.2,-0.2,0.8,0.168302003200494,10331.3259997368,1,1,610.58,6763.355,570.529,21.071,0,0,51.663,1898.492,63.316,0,347.974,0,0.0153181448575005,7109.16100072861,6180.175,3,4,5,17,10326.98,0,0,0,0,0,7.1,7.43333333333333,7.41428571428571
"36",1,2014-04-26,36,7.1,0,1,0.349816516485314,14072.3319993019,3,4,585.027,1327.952,125.556,27.267,0,0,39.183,2347.325,470.773,0,284.164,0,0.00655968602130118,3187.6789996624,605.347,3,4,6,17,5207.247,2,2,2,0,0,7,7.26666666666667,7.31428571428571
"37",1,2014-04-27,37,7,-0.1,0.8,0.0435628204322123,5681.2300002575,0,0,1290.31,2379.81,1480.895,0,0,0,1056.684,27.47,0,0,32.143,0,0.0225833150392805,1395.56999993324,1568.091,2,3,7,17,6267.312,2,2,2,0,0,7.2,7.1,7.31428571428571
"38",1,2014-04-28,38,7.2,-0.6,0.8,0.030060843455325,10082.6819999218,2,0,964.101,4208.75,1548.438,465.253,0,0,63.537,2393.782,0,0,380.193,0,0.00183150183150183,22.4049999713898,264.083,5,7.966,1,17,10024.054,1,1,1,0,0,7,7.1,7.28571428571429
"39",1,2014-04-29,39,7,-0.2,0.6,0.156616745733108,6981.74799895286,0,0,5179.758,3454.36,1197.615,0,333.305,0,34.413,393.437,41.982,0,399.362,0,0.000941619585687382,722.05699968338,721.873,5,5,2,17,11034.232,0,1,2,0,0,7.6,7.06666666666667,7.22857142857143
"40",1,2014-04-30,40,7.6,0,0.4,0.191879926598272,4990.77600002289,1,0,704.544,2473.918,356.905,30.135,0,0,177.757,49.846,272.798,0,112.295,0,0.0129940865234983,891.457000255585,890.463,5,5,3,18,4178.198,1,1,2,0,0,7.5,7.26666666666667,7.22857142857143
"41",1,2014-05-01,41,7.5,0,1,0.0425724028924604,9104.84899902343,6,3,1190.891,5670.733,107.431,596.024,0,28.098,44.43,1865.35,0,0,12.116,0,0.0904736676400181,7607.31299901009,6232.803,2,3,4,18,9515.073,2,2,2,0,0,7.3,7.36666666666667,7.22857142857143
"42",1,2014-05-02,42,7.3,0,1,0.107162985699493,10615.4700009823,0,0,604.282,5022.471,313.462,51.996,0,0,24.423,490.251,0,0,11.083,0,0.037223778400249,4164.64099931717,4369.11,2,3,5,18,6517.968,1,1,2,0,0,7.8,7.46666666666667,7.24285714285714
"43",1,2014-05-03,43,7.8,0.1,1,0.0973899830829044,6944.98300075531,0,1,685.2,3043.998,2739.973,296.313,0,0,33.395,151.87,143.631,30.102,125.605,0,0.0108310192698378,3450.49000000954,3354.016,3,4,6,18,7250.087,1,1,1,0,0,7.8,7.53333333333333,7.34285714285714
