"","ID","date","beepo","mood","arousal","valence","activity","screen","call","sms","appCat.builtin","appCat.communication","appCat.entertainment","appCat.finance","appCat.game","appCat.office","appCat.other","appCat.social","appCat.travel","appCat.unknown","appCat.utilities","appCat.weather"
"71","1",2014-04-04,1,NA,NA,NA,0.0209462817385019,3159.40700125695,1,1,142.138,319.563,0,0,0,0,14.121,0,0,0,21.065,0
"72","1",2014-04-04,2,6,-1,0,0.0783154121863798,4416.71199941635,0,0,347.517,1948.31,685.094,0,0,0,12.242,938.748,0,0,21.112,0
"73","1",2014-04-04,3,6,0.5,0.5,0.306628912946324,788.566999197006,0,0,188.293,401.418,124.935,0,0,0,8.024,18.133,0,0,50.232,0
"74","1",2014-04-04,4,6,1,0,0.286111111111111,3129.47900009155,1,0,302.991,1725.494,568.599,0,0,0,132.246,315.53,158.241,0,20.224,0
"75","1",2014-04-04,5,7,0,1,0.267100630475723,914.306000232698,0,0,966.791,741.065,0,0,0,0,10.168,288.538,0,0,16.059,0
"76","1",2014-04-05,1,NA,NA,NA,0.0873099058542728,1026.84099960327,3,0,14911.546,1126.5,0,0,0,0,8.03,21.117,0,0,17.05,0
"77","1",2014-04-05,2,7,-1,0.5,0.0791750328449965,329.423000097274,0,0,26.63,116.315,76.369,0,0,0,35.461,65.427,0,0,0,0
"78","1",2014-04-05,3,7,0,1,0.254458450046685,861.043999910355,0,0,91.558,401.202,0,0,0,0,29.606,80.638,187.945,0,69.795,0
"79","1",2014-04-05,4,6,0,0,0.302564102564103,621.541000366211,0,0,27.218,538.747,0,0,0,0,0,28.119,0,0,27.081,0
"80","1",2014-04-05,5,7,0,1,0.287570621468927,1345.00499939918,0,0,347.227,794.937,0,0,0,0,8.036,189.024,0,0,5.03,0
"81","1",2014-04-06,1,NA,NA,NA,0.0160714285714286,1263.46200013161,0,0,111.205,722.743,0,46.128,0,0,7.182,375.722,0,0,0,0
"82","1",2014-04-06,2,NA,NA,NA,0.00284900284900285,30.2049999237061,0,0,17.055,13.097,0,0,0,0,0,0,0,0,0,0
"83","1",2014-04-06,3,6,0,0,0.0398618957940991,1803.9169998169,1,0,1571.971,908.524,187.214,0,0,0,63.583,267.246,0,0,19.082,0
"84","1",2014-04-06,4,6.5,-1,0.5,0.0220844811753903,901.690000057221,0,0,828.621,126.045,0,0,0,0,10.188,33.097,0,0,4.094,0
"85","1",2014-04-06,5,7,-1,1,0.0539874069285833,2619.61100006103,0,0,1799.723,643.829,0,0,114.406,0,38.167,0,0,0,23.073,0
"86","1",2014-04-07,1,NA,NA,NA,0.00277777777777777,4028.09299969673,1,0,354.278,2867.361,346.638,0,0,0,210.781,529.245,0,0,74.367,0
"87","1",2014-04-07,2,6,-1,0,0.150213675213675,488.547000408172,0,0,219.685,251.356,0,0,0,0,17.211,0,0,0,0,0
"88","1",2014-04-07,3,7,NA,1,0.128733739367307,3505.44299983978,0,0,304.459,2108.032,309.401,0,0,17.107,82.199,115.941,60.247,0,131.444,0
